player_id,player_name,position,team,season,age_sept1,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,ppr_points,scrimmage_yards
00-0035102,B.Dillon,TE,MIN,2020,23.34,1,0,0,0,0,0,0,0,0,1,1,6,0,1.6,6
00-0035104,A.Hollins,WR,MIN,2019,22.77,2,0,0,0,0,0,0,0,0,4,2,46,0,6.6000000000000005,46
00-0035120,K.Doss,WR,LV,2019,23.45,6,0,0,0,0,0,0,0,0,14,11,133,0,24.3,133
00-0035120,K.Doss,WR,LAC,2023,27.45,2,0,0,0,0,0,0,0,0,13,6,33,0,9.3,33
00-0035126,A.Wesley,WR,ARI,2021,23.86,8,0,0,0,0,0,0,0,0,32,19,208,3,57.800000000000004,208
00-0035140,M.Hardman,WR,KC,2019,21.47,16,0,0,0,0,0,4,17,0,41,26,538,6,123.5,555
00-0035140,M.Hardman,WR,KC,2020,22.47,16,0,0,0,0,0,4,31,0,62,41,560,4,130.1,591
00-0035140,M.Hardman,WR,KC,2021,23.47,17,0,0,0,0,0,8,46,0,83,59,693,2,140.9,739
00-0035140,M.Hardman,WR,KC,2022,24.47,8,0,0,0,0,0,4,31,2,34,25,297,4,93.8,328
00-0035140,M.Hardman,WR,KC,2023,25.47,7,0,0,0,0,0,1,3,0,24,15,124,0,27.7,127
00-0035140,M.Hardman,WR,KC,2024,26.47,12,0,0,0,0,0,5,62,1,14,12,90,0,33.2,152
00-0035140,M.Hardman,WR,BUF,2025,27.47,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0
00-0035146,T.McSorley,QB,BAL,2019,24.02,1,0,0,0,0,0,1,1,0,0,0,0,0,0.1,1
00-0035146,T.McSorley,QB,BAL,2020,25.02,2,3,10,90,1,0,5,17,0,0,0,0,0,9.299999999999999,17
00-0035146,T.McSorley,QB,ARI,2022,27.02,5,45,83,412,0,5,15,61,0,0,0,0,0,8.58,61
00-0035148,D.Thompson,RB,KC,2019,22.55,10,0,0,0,0,0,37,128,1,10,9,43,0,32.1,171
00-0035148,D.Thompson,RB,KC,2020,23.55,5,0,0,0,0,0,27,97,1,11,7,65,1,33.2,162
00-0035164,C.Thompson,WR,SEA,2021,25.64,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
00-0035164,C.Thompson,WR,SEA,2023,27.64,2,0,0,0,0,0,0,0,0,1,1,10,0,2.0,10
00-0035164,C.Thompson,WR,TB,2024,28.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
00-0035181,D.Shepherd,WR,GB,2019,23.83,6,0,0,0,0,0,0,0,0,2,1,1,0,1.1,1
00-0035181,D.Shepherd,WR,GB,2020,24.83,8,0,0,0,0,0,0,0,0,8,5,46,0,9.6,46
00-0035184,D.Ozigbo,RB,JAX,2019,22.92,3,0,0,0,0,0,9,27,0,5,3,23,0,8.0,50
00-0035184,D.Ozigbo,RB,JAX,2020,23.92,6,0,0,0,0,0,1,1,0,9,9,42,0,13.3,43
00-0035184,D.Ozigbo,RB,NO,2021,24.92,1,0,0,0,0,0,1,-3,0,1,1,7,0,1.4,4
00-0035184,D.Ozigbo,RB,DEN,2022,25.92,3,0,0,0,0,0,3,4,0,1,1,3,0,1.7,7
00-0035184,D.Ozigbo,RB,DET,2023,26.92,1,0,0,0,0,0,3,5,0,1,1,8,0,2.3,13
00-0035187,A.Walter,RB,SF,2020,24.04,3,0,0,0,0,0,1,3,0,1,1,27,0,4.0,30
00-0035187,A.Walter,RB,NYJ,2021,25.04,4,0,0,0,0,0,26,101,1,3,2,9,0,19.0,110
00-0035208,O.Zaccheaus,WR,ATL,2019,22.11,6,0,0,0,0,0,0,0,0,5,3,115,1,20.5,115
00-0035208,O.Zaccheaus,WR,ATL,2020,23.11,10,0,0,0,0,0,1,0,0,32,20,274,1,53.400000000000006,274
00-0035208,O.Zaccheaus,WR,ATL,2021,24.11,15,0,0,0,0,0,1,2,0,53,31,406,3,89.8,408
00-0035208,O.Zaccheaus,WR,ATL,2022,25.11,16,0,0,0,0,0,2,7,0,61,40,533,3,110.0,540
00-0035208,O.Zaccheaus,WR,PHI,2023,26.11,11,0,0,0,0,0,0,0,0,20,10,164,2,38.400000000000006,164
00-0035208,O.Zaccheaus,WR,WAS,2024,27.11,16,0,0,0,0,0,1,8,0,64,45,506,3,114.4,514
00-0035208,O.Zaccheaus,WR,CHI,2025,28.11,14,0,0,0,0,0,4,25,0,65,39,313,2,84.80000000000001,338
00-0035215,D.Harris,WR,NO,2019,21.74,14,0,0,0,0,0,4,31,0,6,6,24,0,17.5,55
00-0035215,D.Harris,WR,NO,2020,22.74,9,0,0,0,0,0,6,51,0,25,20,186,1,49.7,237
00-0035215,D.Harris,WR,NO,2021,23.74,13,0,0,0,0,0,5,41,0,59,36,570,3,115.1,611
00-0035215,D.Harty,WR,NO,2022,24.74,4,0,0,0,0,0,0,0,0,2,2,13,0,3.3,13
00-0035215,D.Harty,WR,BUF,2023,25.74,16,0,0,0,0,0,4,0,0,21,15,150,1,42.0,150
00-0035215,D.Harty,WR,BAL,2024,26.74,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
00-0035216,D.Johnson,WR,PIT,2019,23.16,16,0,0,0,0,0,4,41,0,92,59,680,5,165.1,721
00-0035216,D.Johnson,WR,PIT,2020,24.16,15,0,0,0,0,0,2,13,0,106,65,654,5,161.70000000000002,667
00-0035216,D.Johnson,WR,PIT,2021,25.16,16,0,0,0,0,0,5,53,0,169,107,1161,8,274.40000000000003,1214
00-0035216,D.Johnson,WR,PIT,2022,26.16,17,0,0,0,0,0,7,25,0,147,86,882,0,180.7,907
00-0035216,D.Johnson,WR,PIT,2023,27.16,13,0,0,0,0,0,0,0,0,87,51,717,5,152.7,717
00-0035216,D.Johnson,WR,BAL,2024,28.16,11,0,0,0,0,0,0,0,0,9,3,18,0,4.800000000000001,18
00-0035216,Di.Johnson,WR,PIT,2020,24.16,15,0,0,0,0,0,1,2,0,38,23,269,2,62.1,271
00-0035216,Di.Johnson,WR,CAR,2024,28.16,11,0,0,0,0,0,2,6,0,32,17,201,2,49.7,207
00-0035216,Dio.Johnson,WR,CAR,2024,28.16,11,0,0,0,0,0,0,0,0,26,13,156,1,34.6,156
00-0035217,B.Snell,RB,PIT,2019,21.51,11,0,0,0,0,0,28,118,0,2,1,14,0,14.200000000000001,132
00-0035217,B.Snell,RB,PIT,2020,22.51,15,0,0,0,0,0,111,368,4,14,10,61,0,74.9,429
00-0035217,B.Snell,RB,PIT,2021,23.51,16,0,0,0,0,0,36,98,0,4,2,13,0,13.100000000000001,111
00-0035217,B.Snell,RB,PIT,2022,24.51,9,0,0,0,0,0,20,90,1,2,2,17,0,18.7,107
00-0035217,B.Snell Jr.,RB,PIT,2019,21.51,11,0,0,0,0,0,80,308,2,2,2,9,0,43.7,317
00-0035218,S.Smith,RB,LV,2021,25.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
00-0035222,Z.Gentry,TE,PIT,2019,22.98,2,0,0,0,0,0,0,0,0,1,1,4,0,1.4,4
00-0035222,Z.Gentry,TE,PIT,2021,24.98,10,0,0,0,0,0,0,0,0,25,19,167,0,35.7,167
00-0035222,Z.Gentry,TE,PIT,2022,25.98,14,0,0,0,0,0,0,0,0,23,19,132,0,32.2,132
00-0035228,K.Murray,QB,ARI,2019,22.07,16,349,542,3722,20,12,93,544,4,0,0,0,0,285.28,544
00-0035228,K.Murray,QB,ARI,2020,23.07,16,375,558,3971,26,12,133,819,11,0,0,0,0,378.74,819
00-0035228,K.Murray,QB,ARI,2021,24.07,14,333,481,3787,24,10,88,423,5,0,0,7,0,300.48,430
00-0035228,K.Murray,QB,ARI,2022,25.07,11,259,390,2368,14,7,67,418,3,0,0,0,0,200.52,418
00-0035228,K.Murray,QB,ARI,2023,26.07,8,176,268,1799,10,5,44,244,3,0,0,0,0,146.36,244
00-0035228,K.Murray,QB,ARI,2024,27.07,17,372,541,3851,21,11,78,572,5,0,0,0,0,297.24,572
00-0035228,K.Murray,QB,ARI,2025,28.07,5,110,161,962,6,3,29,173,1,0,0,0,0,77.78,173
00-0035229,T.Hockenson,TE,DET,2019,22.16,12,0,0,0,0,0,0,0,0,59,32,367,2,80.7,367
00-0035229,T.Hockenson,TE,DET,2020,23.16,16,0,0,0,0,0,1,0,0,101,67,723,6,175.3,723
00-0035229,T.Hockenson,TE,DET,2021,24.16,12,0,0,0,0,0,0,0,0,84,61,583,4,145.3,583
00-0035229,T.Hockenson,TE,MIN,2022,25.16,17,0,0,0,0,0,0,0,0,129,86,914,6,217.4,914
00-0035229,T.Hockenson,TE,MIN,2023,26.16,15,0,0,0,0,0,0,0,0,127,95,960,5,219.0,960
00-0035229,T.Hockenson,TE,MIN,2024,27.16,10,0,0,0,0,0,0,0,0,62,41,455,0,86.5,455
00-0035229,T.Hockenson,TE,MIN,2025,28.16,15,0,0,0,0,0,1,0,0,66,51,438,3,112.8,438
00-0035232,D.Haskins,QB,WAS,2019,22.33,9,119,203,1365,7,7,20,101,0,0,0,0,0,76.7,101
00-0035232,D.Haskins,QB,WAS,2020,23.33,7,148,241,1439,5,7,20,46,1,0,0,0,0,68.16,46
00-0035243,M.Sanders,RB,PHI,2019,22.33,16,0,0,0,0,0,179,818,3,63,50,509,3,218.70000000000002,1327
00-0035243,M.Sanders,RB,PHI,2020,23.33,12,0,0,0,0,0,164,867,6,52,28,197,0,170.4,1064
00-0035243,M.Sanders,RB,PHI,2021,24.33,12,0,0,0,0,0,137,754,0,34,26,158,0,117.20000000000002,912
00-0035243,M.Sanders,RB,PHI,2022,25.33,17,0,0,0,0,0,259,1269,11,26,20,78,0,216.70000000000002,1347
00-0035243,M.Sanders,RB,CAR,2023,26.33,16,0,0,0,0,0,129,432,1,41,27,154,0,87.60000000000001,586
00-0035243,M.Sanders,RB,CAR,2024,27.33,11,0,0,0,0,0,55,205,2,30,24,148,1,77.30000000000001,353
00-0035243,M.Sanders,RB,DAL,2025,28.33,4,0,0,0,0,0,20,117,1,8,8,30,0,26.700000000000003,147
00-0035246,J.Arcega-Whiteside,WR,PHI,2019,22.67,9,0,0,0,0,0,0,0,0,22,10,169,1,32.9,169
00-0035246,J.Arcega-Whiteside,WR,PHI,2020,23.67,5,0,0,0,0,0,0,0,0,8,4,85,0,14.5,85
00-0035246,J.Arcega-Whiteside,WR,PHI,2021,24.67,7,0,0,0,0,0,0,0,0,5,2,36,0,5.6,36
00-0035249,J.Oliver,TE,JAX,2019,22.45,3,0,0,0,0,0,0,0,0,6,3,15,0,4.5,15
00-0035249,J.Oliver,TE,BAL,2021,24.45,11,0,0,0,0,0,0,0,0,15,9,66,0,15.600000000000001,66
00-0035249,J.Oliver,TE,BAL,2022,25.45,12,0,0,0,0,0,0,0,0,25,14,149,2,40.900000000000006,149
00-0035249,J.Oliver,TE,MIN,2023,26.45,13,0,0,0,0,0,0,0,0,28,22,213,2,53.300000000000004,213
00-0035249,J.Oliver,TE,MIN,2024,27.45,12,0,0,0,0,0,0,0,0,28,22,258,3,65.8,258
00-0035249,J.Oliver,TE,MIN,2025,28.45,12,0,0,0,0,0,0,0,0,19,15,160,4,55.0,160
00-0035250,D.Singletary,RB,BUF,2019,22.0,12,0,0,0,0,0,151,775,2,41,29,194,2,147.9,969
00-0035250,D.Singletary,RB,BUF,2020,23.0,16,0,0,0,0,0,156,687,2,50,38,269,0,143.60000000000002,956
00-0035250,D.Singletary,RB,BUF,2021,24.0,17,0,0,0,0,0,188,870,7,50,40,228,1,197.8,1098
00-0035250,D.Singletary,RB,BUF,2022,25.0,16,0,0,0,0,0,177,819,5,52,38,280,1,177.9,1099
00-0035250,D.Singletary,RB,HOU,2023,26.0,17,1,1,6,1,0,216,898,4,38,30,193,0,167.34,1091
00-0035250,D.Singletary,RB,NYG,2024,27.0,15,0,0,0,0,0,113,437,4,24,21,119,0,96.60000000000001,556
00-0035250,D.Singletary,RB,NYG,2025,28.0,17,0,0,0,0,0,119,437,5,19,18,151,0,108.8,588
00-0035251,W.Grier,QB,CAR,2019,24.41,2,28,52,228,0,4,7,22,0,0,0,0,0,1.3200000000000012,22
00-0035259,T.Wesco,TE,NYJ,2019,23.97,6,0,0,0,0,0,1,2,0,3,2,47,0,6.9,49
00-0035259,T.Wesco,TE,NYJ,2020,24.97,3,0,0,0,0,0,1,0,0,2,1,5,0,1.5,5
00-0035259,T.Wesco,TE,NYJ,2021,25.97,8,0,0,0,0,0,0,0,0,5,3,35,0,6.5,35
00-0035259,T.Wesco,TE,CHI,2022,26.97,6,0,0,0,0,0,0,0,0,4,2,26,0,6.6000000000000005,26
00-0035259,T.Wesco,TE,TEN,2023,27.97,6,0,0,0,0,0,0,0,0,3,1,21,0,3.1,21
00-0035261,T.Pollard,RB,DAL,2019,22.34,14,0,0,0,0,0,86,455,2,20,15,107,1,89.2,562
00-0035261,T.Pollard,RB,DAL,2020,23.34,16,0,0,0,0,0,101,435,4,40,28,193,1,120.80000000000001,628
00-0035261,T.Pollard,RB,DAL,2021,24.34,15,0,0,0,0,0,130,719,2,46,39,337,0,162.6,1056
00-0035261,T.Pollard,RB,DAL,2022,25.34,16,0,0,0,0,0,193,1007,9,55,39,371,3,248.8,1378
00-0035261,T.Pollard,RB,DAL,2023,26.34,17,0,0,0,0,0,252,1005,6,67,55,311,0,222.60000000000002,1316
00-0035261,T.Pollard,RB,TEN,2024,27.34,16,0,0,0,0,0,260,1079,5,57,41,238,0,200.70000000000002,1317
00-0035261,T.Pollard,RB,TEN,2025,28.34,17,0,0,0,0,0,242,1082,5,41,33,206,0,185.8,1288
00-0035264,J.Stidham,QB,NE,2019,23.07,3,2,4,14,0,1,2,-2,0,0,0,0,0,-1.64,-2
00-0035264,J.Stidham,QB,NE,2020,24.07,5,22,44,256,2,3,7,7,0,0,0,0,0,12.94,7
00-0035264,J.Stidham,QB,LV,2022,26.07,3,53,83,656,4,3,14,84,0,0,0,0,0,42.64,84
00-0035264,J.Stidham,QB,DEN,2023,27.07,2,40,66,496,2,1,9,8,0,0,0,0,0,26.64,8
00-0035264,J.Stidham,QB,DEN,2024,28.07,2,0,0,0,0,0,4,5,0,0,0,0,0,0.5,5
00-0035264,J.Stidham,QB,DEN,2025,29.07,1,0,0,0,0,0,1,-1,0,0,0,0,0,-0.1,-1
00-0035268,R.Armstead,RB,JAX,2019,22.84,14,0,0,0,0,0,35,108,0,24,14,144,2,51.2,252
00-0035268,R.Armstead,RB,JAX,2021,24.84,2,0,0,0,0,0,15,80,0,4,3,16,0,12.6,96
