player_id,player_name,position,team,season,age_sept1,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,ppr_points,scrimmage_yards,birth_date
00-0026158,J.Flacco,QB,NYJ,2021,36.63,2,27,42,338.0,3,0.0,2,3.0,0,0,0,0.0,0,23.82,3.0,1985-01-16
00-0026158,J.Flacco,QB,NYJ,2022,37.63,5,110,191,1051.0,5,3.0,3,6.0,0,0,0,0.0,0,48.64,6.0,1985-01-16
00-0026158,J.Flacco,QB,CLE,2023,38.63,6,157,250,1923.0,14,10.0,12,15.0,0,0,0,0.0,0,114.42,15.0,1985-01-16
00-0026158,J.Flacco,QB,IND,2024,39.63,7,162,248,1761.0,12,7.0,9,26.0,0,0,0,0.0,0,99.04,26.0,1985-01-16
00-0036197,J.Fromm,QB,NYG,2021,23.09,3,27,60,210.0,1,3.0,8,65.0,0,0,0,0.0,0,10.9,65.0,1998-07-30
00-0031345,J.Garoppolo,QB,SF,2019,27.83,19,366,534,4405.0,29,16.0,56,63.0,1,0,0,0.0,0,266.5,63.0,1991-11-02
00-0031345,J.Garoppolo,QB,SF,2020,28.83,6,94,140,1096.0,7,5.0,10,25.0,0,0,0,0.0,0,64.340004,25.0,1991-11-02
00-0031345,J.Garoppolo,QB,SF,2021,29.83,18,344,515,4345.0,22,15.0,40,56.0,3,0,0,0.0,0,251.4,56.0,1991-11-02
00-0031345,J.Garoppolo,QB,SF,2022,30.83,11,207,308,2437.0,16,4.0,23,33.0,2,0,0,0.0,0,164.78,33.0,1991-11-02
00-0031345,J.Garoppolo,QB,LV,2023,31.83,7,110,169,1205.0,7,9.0,20,39.0,0,0,0,0.0,0,64.1,39.0,1991-11-02
00-0031345,J.Garoppolo,QB,LA,2024,32.83,1,27,41,334.0,2,1.0,2,5.0,0,0,0,0.0,0,19.86,5.0,1991-11-02
00-0033106,J.Goff,QB,LA,2019,24.88,16,394,626,4638.0,22,16.0,33,40.0,2,0,0,0.0,0,247.52,40.0,1994-10-14
00-0033106,J.Goff,QB,LA,2020,25.88,17,400,598,4281.0,22,13.0,56,109.0,4,0,0,0.0,0,264.14,109.0,1994-10-14
00-0033106,J.Goff,QB,DET,2021,26.88,14,332,494,3245.0,19,8.0,17,87.0,0,0,0,0.0,0,194.5,87.0,1994-10-14
00-0033106,J.Goff,QB,DET,2022,27.88,17,382,587,4438.0,29,7.0,29,73.0,0,1,1,5.0,0,284.32,78.0,1994-10-14
00-0033106,J.Goff,QB,DET,2023,28.88,20,484,716,5412.0,34,12.0,41,24.0,2,0,0,0.0,0,338.88,24.0,1994-10-14
00-0033106,J.Goff,QB,DET,2024,29.88,18,413,579,4942.0,38,15.0,36,63.0,0,1,1,7.0,1,333.68,70.0,1994-10-14
00-0038998,J.Haener,QB,NO,2024,25.48,8,18,39,226.0,1,1.0,11,22.0,0,0,0,0.0,0,13.24,22.0,1999-03-10
00-0038598,J.Hall,QB,MIN,2023,25.44,3,13,20,168.0,0,1.0,6,14.0,0,0,0,0.0,0,2.12,14.0,1998-03-24
00-0036355,J.Herbert,QB,LAC,2020,22.48,15,396,595,4336.0,31,10.0,55,234.0,5,0,0,0.0,0,332.84,234.0,1998-03-10
00-0036355,J.Herbert,QB,LAC,2021,23.48,17,443,672,5014.0,38,15.0,63,302.0,3,0,0,0.0,0,382.76,302.0,1998-03-10
00-0036355,J.Herbert,QB,LAC,2022,24.48,18,502,742,5012.0,26,10.0,57,159.0,0,2,2,-10.0,0,297.38,149.0,1998-03-10
00-0036355,J.Herbert,QB,LAC,2023,25.48,13,297,456,3134.0,20,7.0,52,228.0,3,1,1,10.0,0,234.16,238.0,1998-03-10
00-0036355,J.Herbert,QB,LAC,2024,26.48,18,346,536,4112.0,24,7.0,69,306.0,2,0,0,0.0,0,291.08002,306.0,1998-03-10
00-0036389,J.Hurts,QB,PHI,2020,22.07,14,77,148,1061.0,6,4.0,63,354.0,3,1,1,3.0,0,109.14,357.0,1998-08-07
00-0036389,J.Hurts,QB,PHI,2021,23.07,16,288,475,3402.0,17,11.0,147,823.0,10,1,0,0.0,0,328.38,823.0,1998-08-07
00-0036389,J.Hurts,QB,PHI,2022,24.07,18,364,547,4280.0,25,6.0,200,903.0,18,0,0,0.0,0,457.5,903.0,1998-08-07
00-0036389,J.Hurts,QB,PHI,2023,25.07,18,377,573,4108.0,24,15.0,158,610.0,15,0,0,0.0,0,371.32,610.0,1998-08-07
00-0036389,J.Hurts,QB,PHI,2024,26.07,19,313,452,3629.0,23,6.0,184,824.0,19,0,0,0.0,0,411.56,824.0,1998-08-07
00-0026300,J.Johnson,QB,NYJ,2021,35.3,4,57,85,638.0,5,2.0,9,28.0,0,0,0,0.0,0,46.32,28.0,1986-05-15
00-0026300,J.Johnson,QB,SF,2022,36.3,2,8,15,84.0,0,0.0,4,5.0,0,0,0,0.0,0,1.8599999,5.0,1986-05-15
00-0026300,J.Johnson,QB,BAL,2024,38.3,4,2,3,17.0,0,0.0,4,1.0,0,0,0,0.0,0,0.78,1.0,1986-05-15
00-0036264,J.Love,QB,GB,2021,22.83,6,36,62,411.0,2,3.0,12,27.0,0,0,0,0.0,0,21.14,27.0,1998-11-02
00-0036264,J.Love,QB,GB,2022,23.83,4,14,21,195.0,1,0.0,1,-1.0,0,0,0,0.0,0,11.700001,-1.0,1998-11-02
00-0036264,J.Love,QB,GB,2023,24.83,19,409,634,4625.0,37,13.0,56,249.0,4,0,0,0.0,0,355.9,249.0,1998-11-02
00-0036264,J.Love,QB,GB,2024,25.83,16,288,458,3601.0,25,14.0,27,93.0,1,0,0,0.0,0,237.34,93.0,1998-11-02
00-0035161,J.Lovett,QB,GB,2020,24.35,1,0,0,0.0,0,0.0,3,6.0,0,0,0,0.0,0,0.6,6.0,1996-04-25
00-0036312,J.Luton,QB,JAX,2020,24.39,3,60,110,624.0,2,6.0,1,13.0,1,0,0,0.0,0,28.259998,13.0,1996-04-11
00-0021206,J.McCown,QB,PHI,2019,40.16,3,21,29,198.0,0,0.0,7,21.0,0,0,0,0.0,0,10.02,21.0,1979-07-04
00-0039398,J.Milton,QB,NE,2024,24.49,1,22,29,241.0,1,0.0,10,16.0,1,0,0,0.0,0,19.24,16.0,2000-03-06
00-0034343,J.Rosen,QB,MIA,2019,22.56,5,58,109,567.0,1,5.0,3,13.0,0,0,0,0.0,0,17.98,13.0,1997-02-10
00-0034343,J.Rosen,QB,ATL,2021,24.56,3,2,11,19.0,0,2.0,0,0.0,0,0,0,0.0,0,-3.24,0.0,1997-02-10
00-0035264,J.Stidham,QB,NE,2019,23.07,3,2,4,14.0,0,1.0,2,-2.0,0,0,0,0.0,0,-1.6400001,-2.0,1996-08-08
00-0035264,J.Stidham,QB,NE,2020,24.07,5,22,44,256.0,2,3.0,7,7.0,0,0,0,0.0,0,12.94,7.0,1996-08-08
00-0035264,J.Stidham,QB,LV,2022,26.07,3,53,83,656.0,4,3.0,14,84.0,0,0,0,0.0,0,42.64,84.0,1996-08-08
00-0035264,J.Stidham,QB,DEN,2023,27.07,2,40,66,496.0,2,1.0,9,8.0,0,0,0,0.0,0,26.64,8.0,1996-08-08
00-0035264,J.Stidham,QB,DEN,2024,28.07,2,0,0,0.0,0,0.0,4,5.0,0,0,0,0.0,0,0.5,5.0,1996-08-08
00-0031503,J.Winston,QB,TB,2019,25.65,16,380,626,5109.0,33,30.0,59,250.0,1,0,0,0.0,0,305.36002,250.0,1994-01-06
00-0031503,J.Winston,QB,NO,2020,26.65,4,8,12,131.0,1,0.0,8,-6.0,0,0,0,0.0,0,8.639999,-6.0,1994-01-06
00-0031503,J.Winston,QB,NO,2021,27.65,7,95,161,1170.0,14,3.0,32,166.0,1,0,0,0.0,0,117.4,166.0,1994-01-06
00-0031503,J.Winston,QB,NO,2022,28.65,3,73,115,858.0,4,5.0,5,16.0,0,0,0,0.0,0,43.92,16.0,1994-01-06
00-0031503,J.Winston,QB,NO,2023,29.65,6,25,47,264.0,2,3.0,5,-6.0,0,0,0,0.0,0,11.96,-6.0,1994-01-06
00-0031503,J.Winston,QB,CLE,2024,30.65,11,181,296,2121.0,13,12.0,25,83.0,1,0,0,0.0,0,131.14,83.0,1994-01-06
00-0034899,J.Wolford,QB,LA,2020,24.88,2,25,44,260.0,0,1.0,7,58.0,0,0,0,0.0,0,14.2,58.0,1995-10-16
00-0034899,J.Wolford,QB,LA,2021,25.88,2,1,4,5.0,0,1.0,2,-1.0,0,0,0,0.0,0,-1.8999999,-1.0,1995-10-16
00-0034899,J.Wolford,QB,LA,2022,26.88,2,38,62,390.0,1,3.0,8,32.0,0,0,0,0.0,0,14.799999,32.0,1995-10-16
00-0034577,K.Allen,QB,CAR,2019,23.48,13,303,489,3322.0,17,16.0,32,106.0,2,0,0,0.0,0,177.48,106.0,1996-03-08
00-0034577,K.Allen,QB,WAS,2020,24.48,4,60,87,610.0,4,1.0,7,26.0,1,0,0,0.0,0,45.0,26.0,1996-03-08
00-0034577,K.Allen,QB,WAS,2021,25.48,2,12,19,120.0,1,0.0,2,11.0,0,0,0,0.0,0,7.8999996,11.0,1996-03-08
00-0034577,K.Allen,QB,HOU,2022,26.48,2,46,78,416.0,2,4.0,6,13.0,0,0,0,0.0,0,15.940001,13.0,1996-03-08
00-0034577,K.Allen,QB,BUF,2023,27.48,6,0,0,0.0,0,0.0,13,-13.0,0,0,0,0.0,0,-1.3000001,-13.0,1996-03-08
00-0034577,K.Allen,QB,PIT,2024,28.48,1,1,1,19.0,0,0.0,0,0.0,0,0,0,0.0,0,0.76,0.0,1996-03-08
00-0034131,K.Benkert,QB,GB,2021,26.12,1,0,0,0.0,0,0.0,2,-1.0,0,0,0,0.0,0,-0.1,-1.0,1995-07-17
00-0029604,K.Cousins,QB,MIN,2019,31.04,17,347,504,4017.0,28,7.0,33,62.0,1,1,0,0.0,0,266.88,62.0,1988-08-19
00-0029604,K.Cousins,QB,MIN,2020,32.04,16,349,516,4265.0,35,13.0,32,156.0,1,0,0,0.0,0,306.2,156.0,1988-08-19
00-0029604,K.Cousins,QB,MIN,2021,33.04,16,372,561,4221.0,33,7.0,29,115.0,1,0,0,0.0,0,300.34,115.0,1988-08-19
00-0029604,K.Cousins,QB,MIN,2022,34.04,18,455,682,4820.0,31,14.0,32,98.0,3,1,1,-2.0,0,317.4,96.0,1988-08-19
00-0029604,K.Cousins,QB,MIN,2023,35.04,8,216,311,2331.0,18,5.0,14,25.0,0,0,0,0.0,0,149.74,25.0,1988-08-19
00-0029604,K.Cousins,QB,ATL,2024,36.04,14,303,453,3508.0,18,16.0,23,0.0,0,0,0,0.0,0,176.32,0.0,1988-08-19
00-0036946,K.Mond,QB,MIN,2021,22.19,1,2,3,5.0,0,0.0,0,0.0,0,0,0,0.0,0,0.2,0.0,1999-06-22
00-0035228,K.Murray,QB,ARI,2019,22.07,16,346,539,3752.0,20,12.0,92,539.0,4,0,0,0.0,0,285.98,539.0,1997-08-07
00-0035228,K.Murray,QB,ARI,2020,23.07,16,375,558,3971.0,26,12.0,133,819.0,11,0,0,0.0,0,378.74,819.0,1997-08-07
00-0035228,K.Murray,QB,ARI,2021,24.07,15,352,515,3924.0,24,12.0,90,429.0,5,0,0,0.0,0,303.86002,429.0,1997-08-07
00-0035228,K.Murray,QB,ARI,2022,25.07,11,259,390,2368.0,14,7.0,67,418.0,3,0,0,0.0,0,200.52,418.0,1997-08-07
00-0035228,K.Murray,QB,ARI,2023,26.07,8,176,268,1799.0,10,5.0,44,244.0,3,0,0,0.0,0,146.36,244.0,1997-08-07
00-0035228,K.Murray,QB,ARI,2024,27.07,17,372,541,3851.0,21,11.0,78,572.0,5,0,0,0.0,0,297.24,572.0,1997-08-07
00-0038102,K.Pickett,QB,PIT,2022,24.24,13,245,389,2404.0,7,9.0,55,237.0,3,0,0,0.0,0,149.86,237.0,1998-06-06
00-0038102,K.Pickett,QB,PIT,2023,25.24,12,201,324,2070.0,6,4.0,42,54.0,1,0,0,0.0,0,110.2,54.0,1998-06-06
00-0038102,K.Pickett,QB,PHI,2024,26.24,7,25,43,291.0,2,1.0,14,8.0,1,0,0,0.0,0,24.44,8.0,1998-06-06
00-0036928,K.Trask,QB,TB,2022,24.49,1,3,9,23.0,0,0.0,0,0.0,0,0,0,0.0,0,0.92,0.0,1998-03-06
00-0036928,K.Trask,QB,TB,2023,25.49,2,0,1,0.0,0,0.0,1,-1.0,0,0,0,0.0,0,-0.1,-1.0,1998-03-06
00-0036928,K.Trask,QB,TB,2024,26.49,3,1,1,5.0,0,0.0,5,-4.0,0,0,0,0.0,0,-0.2,-4.0,1998-03-06
00-0034412,L.Falk,QB,NYJ,2019,24.68,3,47,73,416.0,0,3.0,0,0.0,0,0,0,0.0,0,8.64,0.0,1994-12-28
00-0034796,L.Jackson,QB,BAL,2019,22.65,16,296,460,3492.0,37,8.0,196,1349.0,7,0,0,0.0,0,442.58,1349.0,1997-01-07
